Name,Made from,Country of origin,Region,Family,Type,Fat content (in dry matter),Fat content,Calcium content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers,Synonyms,Alternative spellings
Cahill's Irish Porter Cheddar,pasteurized cow's milk,Ireland,Limerick,Cheddar,"semi-hard, artisan",,,,creamy and firm,waxed,brownish yellow,"full-flavored, tangy",rich,yes ,Cahill's Farm Cheese,Cahill's Plain Porter Cheese,
Cahill's Whiskey Cheese,pasteurized cow's and sheep's milk,Ireland,Co Limerick ,Cheddar,"semi-hard, artisan",,,,creamy and firm,waxed,straw,"fruity, nutty, sweet, tangy",,,Cahill's Farm Cheese,,Cahill's Irish Whiskey Cheese
Cairnsmore,unpasteurized sheep's milk,Scotland,Wigtownshire,Cheddar,"hard, artisan",,,,"crumbly, open and smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,yes ,Galloway Farmhouse Cheese,,
Calcagno,pasteurized sheep's milk,Italy,Sardinia & Campania,Pecorino,"hard, artisan",,,,"firm, flaky and smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal, no ,Casa Madaio,,Calcagno Pecorino
Calenzana,unpasteurized goat's or sheep's milk,France,Corsica,,"semi-soft, artisan",,,,creamy,natural,pale yellow,strong,rich, no ,,,
California Crottin,pasteurized goat's milk,United States,California,Brie,"soft, artisan, soft-ripened",,10%,,"dense, dry, firm and fluffy",mold ripened ,cream,"earthy, full-flavored, pronounced, tangy",mushroom,yes ,Redwood Hill Farm & Creamery,Terra,
Cambazola,pasteurized cow's milk,Germany,Allgäu,Brie,"soft, artisan, soft-ripened",,,,creamy and smooth,bloomy,ivory,"nutty, savory, sharp, sweet",strong,yes ,Käserei Champignon,blue brie,"Cambozola Black Label, Cambozola"
Cambozola Grand Noir,pasteurized cow's milk,Germany,Allgäu,Blue,"semi-soft, blue-veined",,,,creamy,waxed,pale yellow,"sharp, sweet",aromatic,yes ,Käserei Champignon,"Cambozola Black Label, Cambozola Classic, Cambozola Finesse, Cambozola Balance, Cambozola Crema",
Cambus o’May,unpasteurized cow's milk,Scotland,Aberdeenshire,,"semi-hard, artisan",,,,creamy,cloth wrapped,cream,sharp,strong,,The Cambus O’May Cheese Company,,
Camembert,unpasteurized cow's milk,France,"Normandy, Camembert",Camembert,"soft, artisan, soft-ripened",,45%,,"chalky, runny, smooth, soft, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, milky, sweet",earthy, no ,,"Camembert Le Châtelain, Camembert de Normandie PDO",
Camembert de Normandie,pasteurized or unpasteurized cow's milk,France,Normandy ,Camembert,"soft, soft-ripened",,45%,,"creamy, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, smooth",fruity,yes ,Le Chatelain ,Camembert Le Châtelain,
Camembert de Portneuf,pasteurized cow's milk,Canada,Quebec,Camembert,"soft, soft-ripened",,,,"creamy, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy",aromatic,,Alexis de Portneuf,,
Camembert des Camarades,pasteurized cow's milk,Canada,Quebec,Camembert,"soft, soft-ripened",,30%,,"creamy, soft and soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",,La Maison Alexis de Portneuf Inc.,,
Cameo,pasteurized goat's milk,United States,California,Camembert,"semi-soft, artisan",,,,"buttery, creamy and soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",,Redwood Hill Farm & Creamery,,
Campfire,pasteurized cow's milk,United States,Port Townsend,Monterey Jack,semi-hard,,,,"compact, creamy, firm, open and supple",natural,ivory,"buttery, smokey , sweet",smokey, no ,Mt. Townsend Creamery,Smoked Washington Jack,
Campi,pasteurized water buffalo's milk,Italy,Lombardy,,"semi-hard, artisan",,,,elastic and firm,natural,ivory,"spicy, sweet",strong, no ,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola,,
Cana de Cabra,pasteurized goat's milk,Spain,Murcia,,"semi-soft, soft-ripened",,,,creamy,bloomy,ivory,"citrusy, creamy, mild",mild,,,MitiCana de Cabra,
Cana de Oveja,pasteurized sheep's milk,Spain,Murcia,,"semi-soft, soft-ripened",,13%,,"buttery, crumbly and flaky",bloomy,ivory,"buttery, tangy",buttery,,,"MitiCaña de Oveja, Miticana de Oveja",
Canadian Cheddar,"pasteurized or unpasteurized cow's, goat's or sheep's milk",Canada,Ontario,Cheddar,"hard, artisan, processed",,,,crumbly and open,natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong", no ,Balderson Cheese Company,,
Canastra cheese,unpasteurized cow's milk,Brazil,"Serra da Canastra, Minas Gerais state",,artisan,,,,,,yellow,spicy,aromatic,,,Queijo Canastra,
Cancoillotte (Cancoyotte),cow's milk,France,Franche-Comté,,soft,,,,,,,,, no ,,,
Canestrato,pasteurized or unpasteurized goat's and sheep's milk,Italy,Moliterno,,"hard, artisan",,30%,,dense and flaky,,straw,"full-flavored, nutty, spicy","grassy, milky, strong", no ,Casa Madaio,"Canestrato di Moliterno IGP, Canestrato di Moliterno",
Cantal,pasteurized or unpasteurized cow's milk,France,"Cantal, Auvergne",,"semi-hard, hard, artisan",,45%,,"brittle, close, compact, crumbly, firm and smooth",natural,pale yellow,"buttery, milky, nutty, strong, sweet, tangy","earthy, milky, strong", no ,,"Cantalet, Fourme de Cantal","Cantal jeune, Cantal Entre-deux, Cantal Vieux, Cantal fremier, Cantal laitier, Cantal AOC"
Cap Cressy,goat's milk,Canada and Italy,Lombardy ,,"semi-hard, artisan, smear-ripened",,,,compact and dense,washed,pale yellow,"mellow, savory, sweet",lactic,,Fifth Town Artisan Cheese,,
Cape Vessey,pasteurized goat's milk,Canada,"Prince Edward County, Ontario",,"semi-soft, artisan",,,,chewy and firm,washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",,,,
Capra al Fieno,pasteurized goat's milk,Italy,"Treviso, Veneto",,"semi-soft, artisan",,,,firm,natural,ivory,"strong, woody","floral, grassy",,Moro Latteria di Moro Sergio,,
Capra al Pepe,pasteurized goat's milk,Italy,"Treviso, Veneto",,"soft, artisan",,,,creamy and soft,natural,pale yellow,"mild, spicy",spicy,,Moro Latteria di Moro Sergio,,
Capra Nouveau,unpasteurized goat's milk,England,"Chelmarsh, Bridgnorth, Shropshire",,semi-soft,,,,creamy and smooth,washed,ivory,"creamy, herbaceous, nutty, smooth, sweet","herbal, nutty, rich, sweet",,Brock Hall Farm Dairy,Capra Baby,
Caprano,pasteurized goat's milk,Canada,Quebec,,"semi-hard, hard",,26%,,"crumbly, open and smooth",natural,pale yellow,pronounced,"goaty, strong",yes ,La Maison Alexis de Portneuf Inc.,,Aged Caprano 
Capraricca,pasteurized goat's milk,Italy,Veneto,,"soft, artisan, soft-ripened",,,,"creamy, runny and supple",bloomy,white,sweet,"fresh, goaty", no ,La Casearia Carpenedo S.r.l.,,
Caprese di Bufala,pasteurized water buffalo's milk,Italy,Veneto,,soft,,,,oily and smooth,natural,straw,"herbaceous, mild, subtle, vegetal","aromatic, fresh", no ,La Casearia Carpenedo S.r.l.,,
Capri Blu,pasteurized goat's milk,Canada and Italy,Lombardy,Blue,"soft, blue-veined",,,,creamy and soft,natural,pale yellow,"creamy, subtle, sweet",goaty,,Fifth Town Artisan Cheese,,
Capriago,pasteurized goat's milk,United States,"Sebastopol, California",,"hard, artisan, brined",,,,firm,washed,,"nutty, sweet","nutty, spicy",,Bohemian Creamery,,
Caprice ,pasteurized goat's milk,Canada and Italy,Lombardy,,soft,,,,creamy and smooth,natural,white,subtle,goaty,,Fifth Town Artisan Cheese,,
Caprice des Dieux,pasteurized cow's milk,France,Bassigny,,"soft, soft-ripened",,60%,,creamy and smooth,bloomy,white,"buttery, nutty, smooth",fresh,yes ,Bongrain,,
Capricious,pasteurized goat's milk,United States,"Petaluma, California",,"hard, artisan",,,,creamy,mold ripened ,ivory,"caramel, nutty",nutty,,Achadinha Cheese Company,,
Capricorn Somerset Goats Cheese,pasteurized goat's milk,England,Somerset,,"soft, artisan",,,,"creamy, crumbly, firm and smooth",bloomy,white,nutty,,yes ,Lactalis McLelland Ltd,,
Capriny,pasteurized goat's milk,Canada,Quebec,,soft,,,,creamy,rindless,white,"creamy, mild, sharp, sour",goaty,,La Maison Alexis de Portneuf Inc.,,"Capriny Pepper, Capriny with Fine Herbs"
Capriole Banon,pasteurized goat's milk,United States,"Greenville, Indiana ",,"soft, artisan",,,,creamy and dense,leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty", no ,Capriole Goat Cheese,O'Banon,
Caprotto,goat's milk,Italy,Campania,,"hard, artisan",,,,compact,natural,straw,"sharp, spicy","floral, strong", no ,Casa Madaio,,
Carabiner,unpasteurized cow's milk,United States,California,,"semi-hard, artisan",,,,dense and firm,natural,yellow,"nutty, salty, sweet",earthy,yes ,Weirauch Farm and Creamery,,
Caravane,pasteurized camel's milk,Mauritania,,,"soft, artisan",,22%,,creamy,bloomy,white,"salty, sweet",,yes ,Tiviski,Camelbert,
Cardo ,unpasteurized goat's milk,"England, Great Britain and United Kingdom","Timsbury, Somerset",,"semi-soft, artisan",,,,"firm, open and runny",washed,ivory,"floral, pungent, savory",pungent,yes ,"Mary Holbrook, Neal's Yard Dairy",,
Carlina,pasteurized cow's milk,Italy,Veneto,,"fresh soft, artisan",,,,creamy,bloomy,white,subtle,fresh, no ,La Casearia Carpenedo S.r.l.,,
Carlow,unpasteurized cow's milk,Ireland,County Carlow,,"semi-hard, artisan",,,,firm and smooth,waxed,golden yellow,"mild, savory, spicy",,,Elizabeth Bradley @ Carlow Cheese,,
Carmody,pasteurized cow's milk,United States,California,Gorgonzola,"semi-hard, artisan",,,,firm,natural,cream,"buttery, caramel, sweet",fresh,yes ,Bellwether Farms,,
Carnia Altobut,unpasteurized cow's milk,Italy,Carnia,,"hard, artisan",,,,"compact, elastic, firm and open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral", no ,La Casearia Carpenedo S.r.l.,,
Caronzola ,pasteurized cow's milk,Canada,Quebec,Blue,"soft, blue-veined",,,,creamy,bloomy,ivory,mild,,,La Maison Alexis de Portneuf Inc.,,
Carr Valley Glacier Wildfire Blue,cow's milk,United States,Wisconsin ,Blue,"semi-soft, artisan, blue-veined",,,,"creamy, crumbly and soft",rindless,ivory,creamy,clean,,Carr Valley Cheese Company,,
Carre de l'Est,cow's milk,France,,,soft,,,,,washed,pale yellow,smokey ,, no ,,,
Carrot Rebel ,unpasteurized cow's milk,Austria,Sulzberg,,"semi-hard, artisan",,50%,,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",,Sulzberger Käserebellen Sennerei GmbH,Rüblirebell,
Carrowholly,unpasteurized cow's milk,Ireland,Co. Mayo,Gouda,"hard, artisan",,,,"crumbly, crystalline, firm and smooth",waxed,yellow,"Synonyms: Carrowholly Original, Carrowholly ""Old Russet"", Carrowholly Cheese Flavoured, Carrowholly Nettle, Carrowholly Pepper, Carrowholly Garlic & Chive",,yes ,Carrowholly Cheese,"Carrowholly Original, Carrowholly ""Old Russet"", Carrowholly Cheese Flavoured, Carrowholly Nettle, Carrowholly Pepper, Carrowholly Garlic & Chive",
Casatica,pasteurized water buffalo's milk,Italy,Lombardy,,"semi-soft, artisan, soft-ripened",,,,"creamy, soft and soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich", no ,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola,Casatica di Bufala,
Casciotta di Urbino,pasteurized cow's and sheep's milk,Italy,Pesaro-Urbino,Caciotta,"semi-soft, artisan",,45%,,"creamy, crumbly and open",waxed,straw,"acidic, milky, nutty","grassy, pleasant", no ,Caseificio Val D’Apsa,,"Casciotta d’Urbino, Casciotta di Urbino PDO, Casciotta di Urbino D.O.P"
Cashel Blue,pasteurized cow's milk,Ireland,County Tipperary,Blue,"semi-soft, artisan, blue-veined",,54%,,"creamy, crumbly and grainy",natural,blue,"acidic, buttery, spicy, strong","pungent, strong",yes ,Cashel Blue™ & Crozier Blue Cheeses,,
Cashew Nut Cream Cheese ,,United States,Brooklyn NY,,"soft, artisan",,,,"creamy, smooth, soft and spreadable",,white,"creamy, nutty, sweet","clean, fresh, nutty",yes ,Dr. Cow Tree Nut Cheese,"Cream Cashew Nut Cheese with Tomato-Turmeric-Garlic, Cream Cashew Nut Cheese with Chives",Plain Cream Cashew Nut Cheese
Castelmagno,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Italy,Piedmont,Blue,semi-hard,,34.2 g/100g,4768 mg/100g,"crumbly, dense and grainy",washed,ivory,"sharp, spicy, strong",strong, no ,,,"Castelmagno prodotto della montagna, Castelmagno di alpeggio, Castelmagno PDO"
Castelo Branco,unpasteurized goat's and sheep's milk,Portugal,"Castelo Branco, Fundão and Idanha-a-Nova",,"semi-soft, artisan",,45%,,"brittle, creamy, crumbly, firm and smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,yes ,,,Queijo de Castelo Branco
Castigliano,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Spain,Castile-Leon,,hard,,,,firm,natural,yellow,"acidic, salty, spicy",rich, no ,,,Queso Castellano
Castle Blue,pasteurized cow's milk,Canada,British Columbia,Brie,"semi-soft, blue-veined, soft-ripened",,,,buttery and creamy,natural,cream,"creamy, piquant, sweet","earthy, rich", no ,The Farm House Natural Cheeses,,
Casu marzu,sheep's milk,Italy,Sardinia,,"soft, soft-ripened",,,,soft-ripened,natural,,,,,,"formaggio marcio, casu fràzigu, casu cundídu, casu modde",
Cathelain,cow's milk,France,,,soft,,,,smooth,,,sour,, no ,,,
Catupiry,,Brazil,Minas Gerais State ,,"soft, processed",,,,creamy and spreadable,,white,"creamy, mild, milky","fresh, milky", no ,,,
Cave Aged Marisa,sheep's milk,United States,Wisconsin,,"semi-hard, artisan",,,,firm,natural,pale yellow,"sweet, tangy",sweet,,Carr Valley Cheese Company,,
Cave Rebel,unpasteurized cow's milk,Austria,Sulzberg,,"hard, artisan",,50%,,"compact, crumbly, firm and open",natural,pale yellow,"creamy, grassy","aromatic, nutty",,Sulzberger Käserebellen Sennerei GmbH,Höhlenrebell,
Caveman Blue,unpasteurized cow's milk,United States,Oregon,Blue,"semi-hard, blue-veined",,,,"buttery, dense and firm",natural,pale yellow,"buttery, fruity, sweet","fresh, grassy",,Rogue Creamery,,
Cayuga Blue,goat's milk,United States,NY,Blue,"semi-hard, blue-veined",,,,compact,bloomy,ivory,creamy,"mild, rich",yes ,Lively Run Goat Dairy,,
Cello Thick & Smooth Mascarpone,pasteurized cow's milk,United States,,,"fresh soft, processed",,,,"buttery, creamy, firm and smooth",rindless,white,"creamy, milky, sweet","fresh, milky",yes ,Cello - Arthur Schuman Inc.,,
Celtic Promise,unpasteurized cow's milk,United Kingdom,"Ceredigion, Wales",,"semi-soft, artisan, smear-ripened",,48%,,creamy,washed,yellow,"fruity, full-flavored",pungent,yes ,Teifi Farmhouse Cheese,,
Cendre d'Olivet,unpasteurized cow's milk,France,Olivet,,"soft, artisan",,45%,,smooth and supple,natural,ivory,"mild, smooth","earthy, pungent", no ,,,Olivet Cendre
Cendré des Prés,pasteurized cow's milk,Canada,Quebec,Brie,"soft, artisan, soft-ripened",,27%,,"buttery, creamy and soft",bloomy,ivory,"acidic, buttery, creamy, fruity, mushroomy","aromatic, buttery, floral, lactic, mushroom, woody",,Fromagerie Domaine Féodal inc.,,
Cerney Pyramid,unpasteurized goat's milk,"England, Great Britain and United Kingdom",Cotswolds,,"fresh soft, artisan",,,,creamy,natural,white,"citrusy, lemony, mild, sweet",,yes ,,,
Chabichou du Poitou,unpasteurized goat's milk,France,Poitou-Charentes,,"soft, semi-soft, artisan, brined",,45%,,"creamy, dense, firm and spreadable",bloomy,white,"acidic, salty, savory, sweet, tangy",goaty,yes ,,,
Chabis de Gatine,unpasteurized goat's milk,France,Poitou-Charentes,,"soft, artisan",,,,firm and smooth,natural,white,"salty, sharp",goaty, no ,,,
Challerhocker,pasteurized cow's milk,Switzerland,"St. Gallen (canton), Tufertschwil ",Swiss Cheese,hard,,,,"creamy, dense and smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",,,,
Champignon de Luxe Garlic,pasteurized cow's milk,Germany,Allgäu,,"soft, soft-ripened",,,,creamy,natural,cream,"garlicky, herbaceous","herbal, spicy",yes ,Käserei Champignon,"Champignon Garlic, Champignon de Luxe Knoblauch",
Champignon de Luxe Pepper,pasteurized cow's milk,Germany,Allgäu,,"soft, soft-ripened",,,,creamy,natural,cream,"creamy, sharp",spicy,yes ,Käserei Champignon,"Champignon de Luxe Pfeffer, Champignon Pepper",
Champignon Mushrooom,pasteurized cow's milk,Germany,Allgäu,,"soft, soft-ripened",,,,creamy,natural,cream,"creamy, mushroomy","fresh, mild",yes ,Käserei Champignon,Champignon Mushroom Mini,
Chaource,cow's milk,France,Aube ,,"soft, soft-ripened",,25%,,"creamy, crumbly and soft-ripened",,cream,"buttery, milky",, no ,,,
Chapman's Pasture,cow's milk,United States,Vermont ,Parmesan,semi-hard,,,,grainy,washed,ivory,"sharp, sweet","strong, sweet", no ,Parish Hill Creamery,,
Charolais,cow's or goat's milk,France,Burgundy ,,semi-soft,,,,creamy,,,,, no ,,Charoles,
Chaumes,pasteurized cow's milk,France,St Antoine,,"soft, semi-soft, soft-ripened",,50%,,"creamy, smooth, springy and supple",washed,pale yellow,"full-flavored, nutty","aromatic, strong", no ,Bongrain,,Chaumes la Crème
Chavroux,pasteurized goat's milk,France,,,soft,,12%,,creamy and spreadable,natural,white,"creamy, mild","fresh, goaty",,,,
Checkerboard Cheddar,unpasteurized cow's milk,United States,NY,Cheddar,"semi-hard, artisan",,,,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,,Muranda Cheese Company,,
Cheddar,pasteurized cow's milk,England,Somerset,Cheddar,"hard, artisan, processed",,9 g/100g,,compact and crumbly,,pale yellow,"creamy, sharp",, no ,"Grafton Village Cheese Company, West Country Farmhouse Cheesemakers, Wexford Creamery, Williams Cheese Company  , WSU Creamery",,
Cheddar LaDiDa Lavender,pasteurized cow's milk,United States,Oregon,Cheddar,"semi-hard, artisan",,,,creamy and smooth,natural,white,"herbaceous, savory, subtle",earthy,yes ,Rogue Creamery,,La Di Da Lavender
Cheddar with Irish Porter,pasteurized cow's milk,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",,,,firm,,pale yellow,"fruity, tangy","pungent, rich",yes ,J.O.D. Food,Cheddar with Irish Porter (Guinness),
Cheddar with Red Wine,pasteurized cow's milk,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",,,,firm,,pale yellow,"fruity, tangy","fruity, rich",yes ,J.O.D. Food,Red Wine Cheddar,
Cheese Curds,pasteurized or unpasteurized cow's milk,"Canada, India and United States",,Cheddar,"fresh firm, whey",,,,"firm, springy and supple",natural,white,"mild, milky, salty",fresh,,"Fromagerie St-Fidèle, La Fromagerie Boivin, Tillamook Cheese Factory","Squeaky Cheese, cheeseballs, paneer, curd, Boivin Cheddar Curds",
Chelsea Blue,,Australia,"Mornington Peninsula, Melbourne",Blue,artisan,,,,crumbly,,,"nutty, salty, sweet","nutty, sweet",yes ,BoatShed Cheese,,
Cherokee Rose,unpasteurized cow's milk,United States,Georgia,Raclette,"hard, artisan",,,,"creamy, smooth and soft",natural,pale yellow,"buttery, nutty, sweet, tangy","fresh, milky",,Nature's Harmony Farm,,
Cheshire,pasteurized cow's milk,England and United Kingdom,"Cheshire, Denbighshire, Flintshire, Shropshire and Staffordshire",,hard,,48%,,crumbly and dense,cloth wrapped,orange,"full-flavored, mild, milky, tangy",aromatic,yes ,Appleby's,Farmhouse Cheshire,"Blue Cheshire, Red Cheshire"
Chevre,pasteurized or unpasteurized goat's milk,France,,,"soft, semi-soft, hard, firm",,,,firm and soft,,white,"earthy, tangy, tart",,,,Goat cheese,
Chevre en Marinade,pasteurized goat's milk,United States,Colorado,,"semi-soft, artisan",,,,"creamy, crumbly, firm and oily",rindless,white,"garlicky, herbaceous, spicy","aromatic, pungent",yes ,Haystack Mountain Goat Dairy,,
Chevre Log,pasteurized goat's milk,United States,California,,fresh soft,,,,"creamy, crumbly, smooth and spreadable",rindless,white,"citrusy, creamy","fresh, mild",yes ,"Cypress Grove Chevre, Goat Lady Dairy",,
Chevrotin des Aravis,unpasteurized goat's milk,France,Haute-Savoie / Upper Savoy,,"soft, artisan, brined",,45%,,creamy and smooth,washed,pale yellow,"full-flavored, herbaceous, sweet","aromatic, floral, goaty", no ,,,
Chhurpi,cow's or yak's milk,"China, Nepal and Tibet",Tibet,Cottage,"soft, hard, artisan",,,,crumbly and dense,natural,pale yellow,tangy,fresh,,,"Durkha, Chhur singba, Chhur mingba , Sherkam",Churpi
Childwickbury,pasteurized goat's milk,"England, Great Britain and United Kingdom","Odell, Bedfordshire",,"fresh soft, artisan",,,,creamy and smooth,natural,white,"citrusy, lemony, mild, milky","floral, fresh, mild, milky",yes ,"Childwickbury Estate, Neal's Yard Dairy",,
Chile Caciotta,pasteurized cow's milk,United States,Texas,Monterey Jack,"semi-soft, artisan",,,,creamy and smooth,waxed,straw,"creamy, mild, salty, spicy",spicy, no ,The Mozzarella Company ,"Ancho Chile, La Cocina Caciotta",
Chile Jack,pasteurized goat's milk,United States,Colorado,Monterey Jack,"semi-soft, artisan",,,,creamy,waxed,cream,"creamy, spicy, subtle, tangy",mild,yes ,Haystack Mountain Goat Dairy,,
Chimney Rock,pasteurized cow's milk,United States,California,,soft,,,,soft,bloomy,pale yellow,"earthy, piquant, savory","fruity, rich",yes ,Cowgirl Creamery,,
Chiriboga Blue,pasteurized cow's milk,Germany,Allgau,Blue,"semi-soft, artisan, blue-veined",,,,"creamy, dense, smooth and spreadable",mold ripened ,cream,"buttery, grassy, mild, sweet",mild, no ,,,
Chocolate Lab,pasteurized cow's milk,United States,Fairview,,"hard, artisan",,,,firm,washed,pale yellow,"pungent, sharp, sweet",rich,,Looking Glass Creamery,,
Chocolate Stout Cheddar,pasteurized cow's milk,United States,Oregon,Cheddar,"semi-hard, artisan",,,,firm,natural,pale yellow,"savory, sweet, tangy",buttery,yes ,Rogue Creamery,,
Chontaleno,pasteurized cow's milk,Mexico,,Parmesan,semi-hard,,,,firm,natural,white,salty,, no ,Peluso Cheese,, Chontaleno Ahumado
Chorlton Blue Cheshire,cow's milk,"England, Great Britain and United Kingdom",Cheshire,Blue,"semi-soft, artisan, blue-veined",,,,creamy and crumbly,natural,pale yellow,"citrusy, lemony, salty",strong,,Chorlton Cheshire Cheese,,
Chura Kampo,yak's milk,China and Tibet,Tibet,,"hard, artisan",,,,"dense, dry and firm",natural,,,aromatic,,,"ser, chura loenpa ",
Château de Versailles,pasteurized cow's milk,Canada,Quebec,Brie,"soft, soft-ripened",,,,"buttery, creamy, runny, soft and soft-ripened",bloomy,ivory,"buttery, creamy",pungent,,Tre Stelle,,
Chèvre des neiges,pasteurized cow's and goat's milk,Canada,Quebec,,fresh soft,,24%,,"soft, spreadable and supple",rindless,white,"fruity, mild, nutty","aromatic, fresh, fruity",,La Maison Alexis de Portneuf Inc.,,"Chèvre des neiges fig & orange, Chèvre des neiges coconut"
Cilentano ai fichi,"Buffalo's, cow's and sheep's milk",Italy,Calabria,,"semi-soft, artisan",,,,creamy,natural,cream,"creamy, fruity","nutty, sweet",,Casa Madaio,,
Cinerino,sheep's milk,Italy,Campania,,"hard, artisan",,,,flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",yes ,Casa Madaio,,
Cirrus,pasteurized cow's milk,United States,Port Townsend,Camembert,"soft, soft-ripened",,,,creamy and soft,bloomy,ivory,"acidic, buttery, milky, nutty, salty","earthy, mushroom, rich", no ,Mt. Townsend Creamery,,
Civray,unpasteurized goat's milk,France,,,"soft, artisan",,45%,,creamy and firm,natural,pale yellow,"acidic, sweet",pleasant, no ,,,
Classic Blue Log,pasteurized goat's milk,United States,Massachusetts,,"semi-soft, artisan",,,,"creamy, dense and soft",mold ripened ,cream,"creamy, tangy","clean, fresh",yes ,Westfield Farm,,
Classico Pecorino Senese,unpasteurized sheep's milk,Italy,Tuscany,Pecorino,"semi-hard, artisan",,,,"buttery, compact and firm",natural,straw,sharp,"aromatic, strong", no ,Caseificio Pinzani Srl ,,
Classico Riserva,unpasteurized sheep's milk,Italy,Tuscany,Pecorino,"hard, artisan",,,,"chalky, compact and crumbly",natural,straw,full-flavored,"aromatic, strong",,Caseificio Pinzani Srl ,,
Classics Fresh Mozzarella,pasteurized cow's milk,United States,Wisconsin,Mozzarella,"soft, brined",,,,"creamy, elastic, smooth, soft, stringy and supple",rindless,white,"acidic, mild, milky, spicy",fresh,yes ,Crave Brothers Farmstead Cheese,"perline, ciliegine, ovoline, marinated ciliegine, bocconcini ",
Clonmore,pasteurized goat's milk,Ireland,Co. Cork,Gouda,"hard, artisan",,,,firm and open,plastic,pale yellow,"earthy, mild, milky, nutty, smooth, sweet, tangy","goaty, strong",yes ,Tom and Lena Beggane,,
Coalho,pasteurized or unpasteurized cow's milk,Brazil, Northeastern Brazil,,semi-hard,,,,"elastic, firm and springy",natural,yellow,"acidic, salty",fresh, no ,,"Queijo de coalho , Rennet Cheese, Queijo coalho",
Coastal Cheddar,cow's milk,England,Dorset ,Cheddar,firm,,,,,rindless,pale yellow,"crunchy, sweet",nutty,,Ford Farm,,
Coeur de Camembert au Calvados,pasteurized cow's milk,France,Lower Normandy ,Camembert,"soft, artisan",,45%,,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich", no ,Isigny Sainte Mère ,Calva d'Auge,
Coeur de Chevre,unpasteurized goat's milk,France,Gâtinais,,"soft, soft-ripened",,,,creamy,leaf wrapped,pale yellow,"salty, spicy","fresh, milky", no ,,,
Colby,pasteurized cow's milk,United States,"Colby, Wisconsin",Cheddar,semi-hard,,,,"firm, open and springy",rindless,yellow,sweet,"mild, sweet", no ,Pinconning Cheese Co.,,Colby Swiss Cheddar
Colby-Jack,pasteurized cow's milk,United States,"Arena, Wisconsin",Monterey Jack,"semi-soft, processed",,,,smooth,rindless,,"creamy, mild, smooth, sweet, tangy",, no ,Williams Cheese Company  ,"Marble jack, Cojack ",
Cold Pack,pasteurized or unpasteurized cow's milk,United States,Wisconsin ,,"soft, blue-veined, processed",,,,"creamy, smooth and spreadable",rindless,,"full-flavored, sharp, smokey , spicy",strong,,Brunkow Cheese Factory,"crock cheese, comminuted cheese, club cheese",
Colony cheese,,Brazil, Rio Grande do Sul,,"semi-hard, artisan",,,,"creamy, open, soft and supple",natural,pale yellow,"creamy, pungent, spicy","lactic, pungent, spicy",,,"queijo colonial, Queijo colônia, queijo de colônia",
ColoRouge,pasteurized cow's milk,United States,Colorado,,"soft, artisan, smear-ripened",,12%,,"buttery, creamy and soft",washed,white,"acidic, buttery, creamy, earthy, mild, spicy","buttery, earthy, mild, spicy",yes ,"MouCo Cheese Company, Inc.",,
Colston Bassett Stilton,pasteurized cow's milk,"England, Great Britain and United Kingdom",Nottinghamshire,Blue,"semi-hard, artisan",,33%,,"buttery, creamy, firm and smooth",natural,cream,"buttery, earthy, fruity, milky, savory, tangy",, no ,"Colston Bassett Dairy Limited, Neal's Yard Dairy",,
Comox Brie,pasteurized cow's milk,Canada,British Columbia,Brie,"soft, soft-ripened",,26%,,"buttery, creamy, runny, soft and soft-ripened",bloomy,ivory,"buttery, creamy","mushroom, pungent",,Natural Pastures Cheese Company,,
Comox Camembert ,pasteurized cow's milk,Canada,Quebec,Camembert,"soft, artisan, soft-ripened",,28%,,"buttery, chalky, creamy, soft, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, mushroomy","milky, mushroom, pungent",,Natural Pastures Cheese Company,,
