Name,Producer,Country,Region,Size,Weight,Website,Milk,Treatment,Classification,Rennet,Rind,Style,Flavor,Description
Maple Cream Chèvre,Boston Post Dairy,United States,Vermont,,"8 oz, 32 oz, 5 lbs",www.bostonpostdairy.com,Goat,Pasteurised,,Microbial,None,Fresh,Flavor added to paste,"Family-run Boston Post Dairy is set in Enosburg Falls, Vermont, along the Missisquoi River, with a view of Jay Peak. The farm is named after the Old Boston Post Stagecoach Road, which runs right through the property. Robert and Gisele Gervais have been farming since 1962, along with their family of fifteenchildren. In 2007 they bought the dairy with their four daughters Anne, Theresa, Susan, and Annette, and they’ve since added a cheesemaking facility and a small retail store to sell the cheeses, goat milk soaps, maple syrups, and bakery items which are all made on the farm. This is a fresh chèvre mixed with a maple cream, which is made right on the farm from the family’s own Vermont maple syrup.Smelling of milk and maple sugar, this is a delightful, creamy, fluffy cheese with a perfect balance of sweetness and a fresh goat tang. The round, warm maple flavors are a perfect contrast with the chèvre, and the texture is decadent and fluffy, reminiscent of cream cheese frosting.Slather this on top of a toasted bagel or a lemon cookie."
Maple Smoked Cheddar (Grafton Village),Grafton Village Cheese,United States,Vermont,Varies,8 oz; 1 lb; 5 lbs; 10 lbs,http://www.graftonvillagecheese.com/,Cow,Raw,Firm,Microbial,Smoked,Cheddar-like,Smoked,"Located in Vermont, the Grafton Cooperative Cheese Company was originally founded in 1892 with the purpose of converting surplus milk from local dairy farmers into cheese. Years later, a fire destroyed the original factory. The factory and the company were restored in the mid-1960s by The Windham Foundation, a philanthropic organization that supports the rural community surrounding Grafton via educational and practical means. Today Grafton Cheese handcrafts artisanal, aged cheddar and specialty cheeses. Proceeds from the sale of these cheeses support the Windham Foundation’s charitable efforts. To make Maple Smoked Cheddar, Grafton’s cheesemakers cold smoke their traditional cheddar over smoldering Maplewood chips for up to four hours.The final product has a smooth texture with a smoky, buttery and savory flavor.Pair Maple Smoked Cheddar with an Oregon pinot noir or a young California Merlot. For beer pairings, try a Vermont brown ale or a porter."
Maple Stracciatella,Maplebrook Farm,United States,Vermont,,16 oz,www.maplebrookvt.com,Cow,Pasteurised,Soft,Vegetable,None,Pasta Filata (mozzarella-type),Flavor added to paste,"Maplebrook Farm was founded in 2003 after a chance encounter. Founder Johann Englert came across Al Ducci`s Groceria in Manchester, Vermont during a visit, and when she tasted their mozzarella, it transported her back to her time in Italy during college. Johann immediately bought 20 pieces of the mozzarella since she knew she couldn’t get anything that good in Boston, where she lived. After returning home, she contacted the Al Ducci’s and spoke to the owner’s son, Mike Scheps, who happened to be the cheesemaker and asked him if he could supply her in Boston with the curd to make their own mozzarella. With an answer of yes, the agreement was in place and Maplebrook Farm was born. Today Maplebrook Farm is headquartered in Bennington, Vermont, and it is a major producer of artisanal cheese on the east coast. The Farm sources its rBGH free milk from small family farms throughout Vermont to make their line of mostly Italian cheeses. Stracciatella is produced when cheesemakers hand-stretch mozzarella and then hand-pull it into strands, which are then mixed with cream. The practice originated in Italy as a way to use the day’s leftover mozzarella scraps, to avoid wasting them. After combining the strands and cream, cheesemakers mix in 100% Grade A Vermont Maple Syrup. The Stracciatella can then be used as a filling for burrata or in this case, sold as-is.Slightly sticky, chewy strings of mozzarella are bathed in cream, and milky flavors balance with sweetness and a slight tang. The stringiness of the cheese leads to more chewing, and a meatier feel. The combination of maple and cream results in both flavors getting a boost.This cheese is begging to be cooked with: tossed into a fruit salad, or fried and topping pancakes."
Marco Polo Reserve,Beecher's Handmade Cheese,United States,Washington,,,www.beechershandmadecheese.com,Cow,Pasteurised,Hard,Microbial,Cloth Wrapped,Cheddar-like,Flavor added to paste,"Located within Seattle`s famous Pike Place Market, Beecher`s Cheese was founded in 2002 by Kurt Beecher Dammeier.  Beecher`s works closely with two local cow dairies; one in Monroe, Washington, and another in Duvall, Washington, that provide excellent quality milk for production.  This tangy, flaky cow’s milk cheese is the clothbound version of Beecher’s Marco Polo cheese, made with lightly ground green and black peppercorns. The combination of the peppers adds a hint of heat and brightness to the cheese, which is aptly named after the explorer who is believed to have brought pepper to Europe in the 13th century.   Marco Polo Reserve is open-air aged, a process that removes an additional 14 to 16 percent of moisture from the cheese, intensifying the already rich, nutty flavor and adding complexity to the texture. Both cheddar and gruyère cultures are used to make the cheese.Beecher’s founderKurt BeecherDammeiersaysMarco Polo Reserveis one of his favorite cheeses and describes itas “an umami bomb.” It`s big and bold, with a distinctive, earthy taste.Marco Polo Reservecan match any red wine,standing up to even the most tannic."
Margie,Sprout Creek Farm,United States,New York,,,https://sproutcreekfarm.org/,Cow,Pasteurised,Semi Soft,,Mold Ripened,Soft-Ripened (Brie-like),,"Made with pasteurized milk from the farm’s own cows and aged for four to eight weeks, Margie is a buttery bloomy-rind cheese from New York’s Sprout Creek Farm. A downy white rind envelops Margie’s rich, straw-colored paste. Inside, the cheese is smooth and pliant. Delightfully creamy and delicate, Margie was a 2015 Good Food Award winner and took 1st place in its category at the 2014 ACS Competition & Judging.Margie is one of a handful of cheeses made by the Poughkeepsie-based Sprout Creek. The farm uses only milk from its own grass-fed cows and goats, and they attribute the richness of the cheeses’s flavor to the nutrients from the grass. Across 200 acres of land in Dutchess County—about an hour and a half north of New York City—Sprout Creek Farm operates as a non-profit dairy farm, creamery, and education center. They raise animals including cows, sheep, goats, and pigs and sell cheese, farm-raised meat, eggs, and more.The farm centers around a mission of education— whether that’s through summer camps in which children can learn about farm tasks and projects, to school programs for students and teachers.This bloomy-rind has a light and buttery flavor. Expect delicate notes of sweet cream, mushrooms, and hay.Margie`s smooth, creamy paste pairs well with a crusty baguette. It`s best served alongside a crisp white wine."
Marinated Cabecou,Laura Chenel's Chevre,United States,California,,6.2 oz or 3.5 lb containers,www.laurachenel.com,Goat,Pasteurised,Soft,Microbial,HerbedRindless,Fresh,Flavor added to rind,"Cabecou is a goat cheese button that’s only a few days old when it`s placed in one of several marinades, including a black truffle variety (pictured here), an herb mixture, and a spicy red pepper flake version. The “aging” process continues in the jar, as buttons absorb the flavors of the savory herbs and flavorings while they marinate in a mixture of oils, including organic canola oil and/or California extra virgin olive oil and French truffle oil. Buttons remain creamy in the jar and hold their shape. Located in a state-of-the-art creamery in Sonoma, California, Laura Chenel`s has been in operation since the late 1970s. Laura Chenel was one of a small group of women cheesemakers to spearhead the production of goat`s milk cheeses in the United States. After nearly three decades of growing the business, Chenel sold her company in 2006 to French family cheese producers, Laiteries H. Triballat, who continue the tradition of Laura Chenel’s cheesemaking of both fresh and aged cheese. Milk for production comes from family goat dairies located in the western United States.High-quality milk is crucial to excellent cheese production and the company has very close relationships with their producers to ensure animal health, nutrition,and general well being.It’s really the flavorings in the jar that characterize the flavor of Cabecou. Buttons are mild yet creamy and tart, infused with each marinade`s flavors. Cabecou is great on salad or served with some crusty bread. Laura Chenel’s cheesemakers recommend brushing fresh Roma tomatoes with some of the oil from the jar, then roasting them until they begin to brown, topping them with a layer of Cabecou buttons and then baking until the buttons soften and get toasty on top.Pair Cabecou with a crisp, light-bodied California pinot grigio with pepper or arugula notes."
Marinated Ciliegine ,Crave Brothers Farmstead Classics,United States,Wisconsin,,,www.cravecheese.com,Cow,,Soft,Microbial,Flavored,,,"Located in Waterloo, Wisconsin, Crave Brothers is a family owned farm and cheesemaking business, operated by four brothers: Charles, Thomas, Mark and George.The siblings, who all grew up on their family’s 40 cow dairy in Wisconsin have arranged the division of labor so that each brother has an area of responsibility best suited to their interests and skills. Tom manages the crops and equipment upkeep, Mark is responsible for milking operations, George oversees and manages cheesemaking and Charles oversees bookeeping.Having originally rented a farm just west of Madison in the early 1980`s, where they milked just under 60 cows, the brothers later purchased 300 acres of farmland in Waterloo, a move which allowed them to farm on a much larger scale, construct a new dairy, and grow their own animal feed.For years they sold fluid milk, until milk prices fell and the brothers needed to think of ways to add value to their milk. In 2001 they decided to go into cheese production.Today, the farm milks 1,100 Holsteins that George proudly describes as “the Cadillac of dairy breeds”. The cheesemaking operation is located across the road from the barns and milking parlor, and milk is pumped directly to the cheese room via a pipe laid under the road.In addition to making cheese, as with many modern cheesemaking operations, the farm is on the edge of environmental stewardship. As such, the Crave Brothers’ facility is carbon negative, a result of utilizing the waste from the cows by channeling it into an computer-controlled anaerobic digester. This produces methane gas that powers an internal combusion engine, in turn generating enough electricity to power the farm, cheesemaking facility and 300 area homes.Crave Brothers produce a variety of fresh and aged cheeses from their three cheesemaking vats. Three vats are designed to each hold 26,000lbs of milk and these are primarily used for production of fresh and part skim mozzarella. A fourth, smaller vat holds 5,000lbs and is used to produce Les Frères and Petit Frère.Made in the style of Italian fresh mozzarella, Crave Brothers’ version is soft and light, making it ideal for use in salads or simply served with fresh tomatoes. Milk is only hours old when it is transformed into Crave Brothers’ Mozzarella.Marinated Ciliegine are small, cherry (cilliegine) sized balls of mozzarella that Crave Brothers marinate in a blend of olive and canola oil together with their own spice mix."
Marinated Feta,Bittersweet Plantation Dairy,United States,Louisiana,Varies,Varies, www.jfolse.com/bittersweet_dairy,Goat,,Firm,Vegetable,FreshFlavored,,,"Bittersweet Plantation Dairy is owned by renowned chef and restaurateur John Folse and is located some twenty miles east of Baton Rouge in Gonzales, Louisiana.Creating artisanal cheese in the hot and humid Louisiana bayous can be quite a challenge. However, John Folse and his cheesemaker, Michael Levy, create a variety of soft ripened cheeses that reflect local tradition and tastes.Matt Summers is the dairy manager who oversees two full-time Bulgarian cheesemakers, Dimcho and Petrana Dimov who are married and have 31 years cheesemaking experience in Bulgaria. In collaboration with John Folse & Matt, they have been making the cheeses for the Bittersweet Cajun & Creole line and also some of their favorites from Bulgaria- Kashkaval and Feta.Milk for cows milk cheese production at Bittersweet comes from a milk processor, whilst the goat milk is sourced from a small dairy a few hours away.Bittersweet Planatation Dairy`s Marinated Feta is made in the style of Bulgarian Feta from the homeland of both Dimcho and Petrana. After production, the cheese is soaked for between 3-4 weeks in a solution of salt and whey. It is then drained and packed in olive oil that has been infused with rosemary, oregano, thyme, garlic peppers and other spices."
Marinated Feta (Brazos Valley),Brazos Valley Cheese,United States,Texas,,12 oz,www.brazosvalleycheese.com,Cow,Raw,Firm,Microbial,Rindless,,Flavor added to rind,"15 years ago, Rebeccah Salmeri decided to teach herself how to make cheese. Living in Waco, Texas in the traditional agricultural and crafts community Homestead Heritage, Rebeccah was looking for a way to use some extra spring milk that the community’s Brown Swiss cows had been producing. Using books and experimentation, she gradually began producing dairy products, hard and soft cheeses, eventually teaching her craft to others. In May of 2005, Rebeccah’s cousin Marc Kuehl visited the community and decided to stay and make cheese with her. Together, the pair founded Brazos Valley Cheese. Since then the company has continuously grown—from making two 36-gallon batches per week to using a 200-gallon vat, to purchasing a 400-gallon vat that was custom made in the Netherlands and building an underground aging cave. Milk is sourced from three local Brazos Valley dairies, where Jersey and Brown Swiss cows graze freely outside. All of the company’s cheeses are raw milk cheeses. This feta is produced in small blocks and aged for at least 60 days in a 3% salt brine. The blocks are then chopped down into small chunks and marinated with olive oil, dried tomatoes and garlic.The oily marinade is mild enough not to overpower the crumbly, salty cheese. Slight bitterness and herbal notes are present.Co-owner Marc Kuehl suggests using this feta in salads or with eggs."
Marinated Feta (Split Creek Farm),Split Creek Farm,United States,South Carolina,,8 ounces,www.splitcreek.com,Goat,Pasteurised,Semi Soft,Vegetable,FlavoredHerbed,,," Split Creek Farm has been crafting award-winning fresh goat feta since 1988, when founder Evin Evans decided to respond to a growing demand for domestic goat cheeses and put to use the surplus of milk on his farm. Over the years, a herd of three goats has grown to several hundred, while original four-gallon vat batches have grown to a 150-gallon vat operation. A true farmstead dairy, cheeses at Split Creek are made using only milk from animals raised on-site.   One of several fresh and aged cheese varieties produced on the farm, this goat’s milk feta is sliced and packaged in jars containing sundried tomatoes, garlic, and herbs in a mix of olive oil and canola oil. Kicking off with a hint of marcona almonds, flavors in these juicy cubes of feta then give way to olive brine and a medley of Mediterranean herbs. Texture is bready at first before crumbling and melting in the mouth. All in all, it tastes like a whole pizza in one bite. “We serve it with watermelon and cucumber, [and use it] in manicotti,” says farm manager Jessica Bell. When the last savory cubes are plucked from the jar (it’ll happen fast), the leftover marinade adds fragrant flavors of sun-dried tomatoes, garlic, and herbs to pasta and salads."
Marinated Sheep & Goat Cheese,Meredith Dairy,Australia,Victoria,Varies,Varies,www.meredithdairy.com,GoatSheep,Pasteurised,Soft,Microbial,NoneFlavor Added,Fresh,,"Behold, Australia`s most decorated goat cheese. Often referred to as ""marinated feta,"" Marinated Sheep & Goat Cheese is a much-beloved staple that has made waves down under and built a steady following stateside. The cheese hails from Meredith Dairy outside of Melbourne, which is among the largest farmstead goat`s milk product producers in Australia. Owners Sandy and Julie Cameron have created an award-winning business that focuses on sustainable agricultural practices and continuous research into animal husbandry. A focus on sustainability means that the Farm does not grow any GMO crops, while portions of the property have been set aside as native habitat where grazing animals are not allowed. The Camerons have also replanted thousands of indigenous trees on the property as windbreaks and to prevent soil erosion. With their flocks of goats and sheep, the Camerons have established an animal husbandry schedule that ensures milk is available year-round. At any given time, a quarter of each herd is pregnant and a quarter have given birth. The animals are fed a mixture of grain and hay, and are also put out to pasture during the spring and summer months. The results of these practices include not only a thriving farm, but also a constant supply of fresh milk that is then turned into cheese, yogurt, and other dairy products like this marinated beauty. Produced from a mix of goat`s and sheep`s milk, the fresh cheese is cubed and plunged into a mixture of olive oil, garlic, peppercorns, and herbs.The cheese`s flavor is mild and fresh with a good balance of acidity and salt, enhanced by the addictive blend of olive oil and spices that it is marinated in.Pair it with a sparkling wine, a semillon, or an oaked chardonnay."
Marisa,Carr Valley Cheese Co,United States,Wisconsin,"10 ins diameter, 4 ins high",12 lbs,www.carrvalleycheese.com,Sheep,,Semi Soft,Vegetable,None,,,"Located in the rolling hills of central Wisconsin, Carr Valley Cheese remains one of Wisconsin`s most traditional cheese plants, famous for its Wisconsin cheddar varieties, as well as a host of more modern cheeses. Now owned and operated by Sid Cook, Carr Valley was founded in 1902, but the Cook family has been making cheese since 1883. Sid is a fourth generation cheesemaker. The first cheese plant that his father operated was in Irish Valley, where Sid worked with his father for several years before taking over the business in the mid 70`s. During this time Sid also learned how to make his own cultures from his father and grandfather. He and his brother made Wisconsin-style cheddar at that location for ten years, and Sid eventually purchased Carr Valley in 1986 and another cheesemaking facility in 1991, with a layout that would allow for more flexibility and the development of more styles of cheese. Carr Valley now sources cow`s milk from 40 farms, all located within 20 miles of the plant, and each milking no more than 70 cows. Sheep`s milk comes largely from one dairy and goat`s milk from a group of eight farms in the Green Bay area. Carr Valley makes over 65 different cheeses.Made only seasonally with milk sourced from Wisconsin sheep, Marisa is named after Sid Cook’s daughter.The texture of the cheese is firm and quite dense.  Flavors are sweet and mellow - a result of the sheep’s milk - yet quite complex.Good pairings for Marisa include Chianti, Pinot Grigio and lighter Lagers."
Maroilles,Various,France,"Picardy, Nord-Pas-de-Calais","5 in square, 2.5 cm height ",1.5 lbs,www.maroilles-infos.com,Cow,,Semi Soft,Animal,Washed,,,"Maroilles is a semi-soft washed rind cheese from the North of France. After it was invented in the 10th century by a monk in the Abbey of Maroilles, it quickly grew to fame, and was noted as the preferred cheese of several French kings (Philip II, Louis IX, Charles VI and Francis I).Traditionally the farmers in the villages surrounding the Abbey of Maroilles were asked to convert their cow’s milk into young squares of Maroilles cheese every June 24th, the day of Saint Jean Baptiste. On the following 1st of October, the feast day of Saint Remi, the villagers would donate the aged cheeses to the Abbey, and the monks would distribute them to the Champagne grape harvesters for lunch and dinner. October 1st is still known as Maroilles Day in the region.In making Maroilles, the curd is shaped and salted before being removed from its hoop. Young squares rest 10 days in a ventilated area, where they begin to develop a light blue fuzzy surface. They’re then moved to an aging cellar and washed and brushed for several weeks, developing an orange-red rind due to the introduction of Brevibacterium linens bacteria. Maroilles AOC can be made in four sizes, and required ripening times vary accordingly. For ‘Traditionelle’ Maroilles (720g), ripening time is 5 weeks minimum; for ‘Sorbais’ (550g) it’s 4 weeks; for ‘Mignon’ (350g), 3 weeks; and for Quart (180g), at least 2 weeks.Nicknamed vieux pant, or “old stinker,” Maroilles is characterized by a pungent smell. The taste is soft and creamy, with a slight sweetness and lingering flavor. It’s best enjoyed from May to August, but is also good from March until December. Maroilles is a great end-of-meal cheese. It goes well with a brown ale, a French cider, a refined brandy, or an aromatic white wine such as a late-harvest Gewürztraminer. "
Mascarpone Burrata,Fiore di Nonno,United States,Massachusetts,,4.75 oz,www.fioredinonno.com,Cow,Pasteurised,Soft,Vegetable,None,Pasta Filata (mozzarella-type),Flavor added to paste,"Lourdes Smith comes from a long line of Italian cheesemakers; her great-grandfather Alphonso Fiore made cheese in Italy and then in Hoboken, New Jersey after immigrating to the US. She was inspired early on by watching her grandfather Joe, who had taken over Alphonso’s shop, making mozzarella, ricotta and basket cheese. Her business in Somerville, Massachusetts, whose name translates into “my grandfather’s flower,” is a salute to him. Lourdes sources mozzarella curd from partner farms. She recently worked with Shy Brothers Farm in Westport, MA, which is run by two sets of fraternal twins, to develop a curd recipe using their antibiotic and hormone-free cow’s milk. Shy Brothers’ cows graze on pasture in a peninsula that juts out into the Westport River. After Lourdes receives the curd, she transforms it by hand each morning in her Somerville, MA kitchen. The cheesemaking process begins by breaking the curd into even pieces using a tool called a guitar. Lourdes then adds hot water to the curd, which slowly brings it up to melting temperature so that it can be stretched using a wooden paddle, then shaped.The resulting mozzarella is moist and refreshing, soft in texture, milky and buttery with a hint of salt. Burrata originated in the Murgia area of Italy. It’s a disk of fresh mozzarella that is shaped into a pouch, inside of which is stuffed stracciatella, a mix of fresh cream, salt and curds that have been pulled into strings. Fiore di Nonno Burrata is made in several unique combinations that play with sweetness, savory and tangy flavors. Mascarpone Burrata is filled with Italian mascarpone cheese, which lends a buttery flavor, and Greek yogurt for a bit of a tang.Lourdes suggests serving Mascarpone Burrata with smoked trout, saltine crackers and bread and butter pickles, or with citrus fruits."
Mascarpone (Crave Brothers),Crave Brothers Farmstead Classics,United States,Wisconsin,,8oz ,www.cravecheese.com,Cow,,Soft,,None,,,"Located in Waterloo, Wisconsin, Crave Brothers is a family owned farm and cheesemaking business, operated by four brothers: Charles, Thomas, Mark and George.The siblings, who all grew up on their family’s 40 cow dairy in Wisconsin have arranged the division of labor so that each brother has an area of responsibility best suited to their interests and skills. Tom manages the crops and equipment upkeep, Mark is responsible for milking operations, George oversees and manages cheesemaking and Charles oversees bookeeping.Having originally rented a farm just west of Madison in the early 1980`s, where they milked just under 60 cows, the brothers later purchased 300 acres of farmland in Waterloo, a move which allowed them to farm on a much larger scale, construct a new dairy, and grow their own animal feed.For years they sold fluid milk, until milk prices fell and the brothers needed to think of ways to add value to their milk. In 2001 they decided to go into cheese production.Today, the farm milks 1,100 Holsteins that George proudly describes as “the Cadillac of dairy breeds”. The cheesemaking operation is located across the road from the barns and milking parlor, and milk is pumped directly to the cheese room via a pipe laid under the road.In addition to making cheese, as with many modern cheesemaking operations, the farm is on the edge of environmental stewardship. As such, the Crave Brothers’ facility is carbon negative, a result of utilizing the waste from the cows by channeling it into an computer-controlled anaerobic digester. This produces methane gas that powers an internal combusion engine, in turn generating enough electricity to power the farm, cheesemaking facility and 300 area homes.Crave Brothers produce a variety of fresh and aged cheeses from their three cheesemaking vats. Three vats are designed to each hold 26,000lbs of milk and these are primarily used for production of fresh and part skim mozzarella. A fourth, smaller vat holds 5,000lbs and is used to produce Les Frères and Petit Frère.Mascarpone is an Italian-style cream cheese and as well as being a wonderful accompaniment to any dessert, is also the base ingredient for Tiramisu.Crave Brothers’ Mascarpone is produced from fresh, sweet cream and has a wide variety of uses in both sweet and savory dishes, including mascarpone mushroom soup and chocolate mascarpone pie.Mascarpone pairs well with strawberries, honey, ginger snaps, chocolate or lemon. As far as beverage pairings, try Mascarpone with a sparkling white wine or Champagne."
Mascarpone (Vermont Creamery),Vermont Creamery,United States,Vermont,Varies,Varies,www.vermontcreamery.com,Cow,,Soft,,None,,,"Founded in 1984 by Allison Hooper and Bob Reese, Vermont Creamery is located near Websterville, Vermont. Having spent time with a small-scale cheesemaker in Brittany during the 1970s, Allison was working as a state dairy lab technician in Vermont when she responded to a request from Bob Reese to produce some fresh chèvre for a state dinner. At the time, Bob was employed as marketing director for the Vermont Department of Agriculture. The chèvre was a hit and after some experimentation, Bob and Allison decided to go into production on a more formal basis, founding Vermont Creamery. Milk for cheese production comes from twenty-one family farms in Vermont, New Hampshire, New York and Quebec. Each farm has an average herd size of approximately 150 goats. Vermont Creamery makes a variety of fresh and young style cheeses and cultured dairy products, many of which are based on French recipes. They also make an outstanding cultured butter. Cheeses are made from either goat`s or cow`s milk. Mascarpone is an Italian-style cream cheese thatis the base ingredient for many desserts, including Tiramisu.It alsomakes awonderful accompaniment. For production, Vermont Creamery uses fresh cow’s milk cream, resulting in a sweet, rich, cream-like flavor and a smooth, thick texture."
Mastorazio,Casa Madaio ,Italy,Campania,"3.5” tall, 6.5” wide",5.5 lbs,www.casamadaio.it/en.html,Sheep,,,Animal,Natural,,,"Owned by the Madaio family, Casa Madaio is an acclaimed cheese affineur (maturer) and producer located in Salerno, Italy. The family home, a castle with three towers, is reflected in Casa Madaio’s distinct logo. Mr. Madaio feels that the towers not only represent the home, but also the connection of the past with the future. To him, the towers symbolize his three children Angelo, Renata and David and the future of Casa Madaio. At Casa Madaio, both cheese production and the cheese aging facility are small scale. The business is centered at two different locations. The cheese making facilities are in Eboli, along with the central office, while the aging caves are located at Castelcivita, in the heart of the The National Park of Cilento and Vallo of Diano. The area is steeped in history. The caves have been used to age cheeses by the Madaio family for four generations, and the company places great value on the preservation of the history and flavors of the land, working closely with local universities and with the Slow Food movement to further research. Their cheeses are primarily sold to small specialty shops and restaurants, both in Italy and abroad. Casa Madaio makes both fresh goat and buffalo milk cheeses at their location in Eboli. In addition, they also purchase cheeses made at small mountain dairies nearby that they age themselves at Castelcivita.Mastorazio is a pecorino that is aged for 12 to 18 months. It has a natural rough brown rind and a dense pale yellow paste. The scent of the cheese is of milk and herbs. Its flavor is herbaceous with a touch of spice. This cheese pairs beautifully with Taurasi wine, a red wine that is native to the Campania region of Italy and works particularly well as a fondue with Sea Bass and spinach. "
Maytag Blue,Maytag Dairy Farms,United States,Iowa,"8 ins diameter, 4-5 ins high",4 lbs,www.maytagdairyfarms.com,Cow,,Firm,Vegetable,Foil Wrap,,,"Even in the context of American innovation, it`s unusual for a family that founded a highly successful washing machine company to also pioneer a legendary cheesemaking facility—but that`s precisely what the Maytag family achieved in the space of one hundred years. Frederick Maytag, a son of German immigrants, settled in Iowa in the 1860s and, after successfully establishing a farm implement company, designed a washing machine that would eventually catapult the company to fame and fortune. Frederick’s son Elmer was an entirely different character, finding more satisfaction in establishing a herd of award winning Holstein-Friesian cows. Elmer’s son, Frederick II, inherited both the farm and his grandfather’s business acumen, establishing Maytag cheese production in 1941. Cow’s milk for production is sourced from the farm’s own herd. It`s heated, cultures and rennet are added and, after the curd has formed, cut into cubes in the vat. The whey is then drained off and the remaining curds are mixed with a blue mold powder before being scooped into hoops and pressed. After unmolding, the young cheeses are soaked in a brine solution for several hours before being transferred to the caves—which are dug into a hillside behind the cheesemaking room—for further aging. During a four- to six-month aging process, wheels are pierced to allow air into the interior. The enzymes and bacteria react with the air, allowing for the development of blue veins throughout the cheese. Prior to sale and shipping, each wheel is hand-scraped to remove any surface mold before being wrapped in silver foil.The texture of Maytag Blue is firm, moist and slightly crumbly with an ivory colored paste shot through with sapphire colored blue veins. Flavors are rich and cream-like, with an assertive salty note and a savory finish.Drizzle your Maytag Blue with honey or sip a barleywine-style ale alongside it."
Meadow Melody Grande,Hidden Springs Creamery,United States,Wisconsin,13 in diameter x 4 in height,,www.hiddenspringscreamery.com,SheepCow,Raw,Firm,Animal,Washed,,,"You can only find this buttery, washed-rind cheese during the fall and winter, when approximately 400 sheep on the farm at Hidden Springs Creamery produce milk with the highest butterfat and protein content, contributing to the rich, creamy texture of this raw sheep and cow’s milk cheese. Cheesemaker Brenda Jensen wants “every single batch to come out award-winning,” an attitude that has earned Hidden Springs Creamery multiple honors, including a Best of Class title at the 2014 World Championship Cheese Contest. Brenda and her husband, Dean, live in the heart of Amish country. The vision for Hidden Springs Farm and Creamery is to be sustainable - both environmentally and financially. Since the Jensens are in the middle of Amish farm country (Dean works as a councillor for the Amish community), they appreciate Amish values and work practices. They employ Amish friends and neighbors for milking and construction. Percheron draft horses - not tractors - plow their fields, and donkeys keep coyotes and other predators away from their lambs. Brenda has worked to develop several cheeses, and Meadow Melody Grande is her first mixed-milk cheese, using cow’s milk as well as sheep’s milk. Brenda cuts each curd lovingly by hand for all of Hidden Springs’ cheeses. The washed-rind, 13-pound Grande wheels are aged on wooden boards in underground cheese caves for eight to 10 months. Keep your eyes peeled for a smaller, two-pound version known simply as Meadow Melody.With a rich and dense paste underneath an orange-hued rind, Meadow Melody Grande is creamy and buttery with flavors of grass and toffee.Likened to young Manchego, Meadow Melody Grande matches naturally with delicate, slightly salty Serrano ham."
Meadowkaas,Uniekaas,Netherlands,Northern Holland,"8 ins diameter, 3 ins high",10 lbs,www.dairydial.com,Cow,,Firm,Vegetable,Waxed,,,"Produced by Uniekaas in the Netherlands from pasteurized cow’s milk, Meadowkaas is made only in very limited quantities during the Spring months each year. This season is when the cows are able to graze on the fresh, new growth of rich grasses that are full of nutrients and flavor. The result of this shows in the quality of the milk and therefore the cheese as its only this milk that is used for Meadowkaas.Wheels are matured for four weeks prior to release. The interior texture of Meadowkaas is firm and yet slightly pliant, dotted with teh occasional ""eye"" or hole.Flavors of Meadowkaas include sweet cream, cultured butter and a hint of salt"
Medallion,Lakin's Gorges Cheese,United States,Maine,"3 ins diameter, 0.75 ins high",2 oz,www.lakinsgorgescheese.com,Cow,,Soft,Microbial,Mold Ripened,,,"Founded in 2011, Lakin’s Gorges Cheese is located in Rockport, Maine. For owner Allison Lakin, becoming a cheesemaker evolved from a background in anthropology, education, and technical theatre. When the opportunity arose in August 2011 to start her own business, without having her own cows, she took the plunge. According to Allison, cheesemaking combines her fascination with science with her love of magic. Milk for production is sourced from a single, certified organic and grass fed herd of Jersey and Jersey cross cows. She is working toward having her own farm, but currently is renting space from another Maine cheesemaker to produce her cheese. Currently, Allison makes cheese a few days each week, producing a variety of fresh and aged cheeses that are sold either via her local farmers’ market, restaurants and specialty food shops in Maine and New England. Named for its shape, Medallion is a small, mold ripened disc, similar in shape to a French Cabecou. For production, curds are allowed to drain for 1 day before being dry salted and transferred to the aging room where they are held for approximately two weeks prior to release.Flavors of the Medallion are sweeter than the Lakin’s Prix de Diane (see separate entry).   A delicate, thin, white rind encases a smooth, rich and velvety interior texture.  Flavors of fresh mushrooms and cream predominate and give a lingering finish.Suggested pairings: Pinot noir. "
